Id_bien;No_voie;Type_de_voie;Voie;Section;No_plan;Premier_Lot;Surface_Carrez_du_1er_Lot;Nombre_de_lots;Type_local;Surface_reelle_bati;Nb_piece_principale;Nature_culture;Nature_culture_speciale;Surface_terrain;CodeComm_CodeDep
66;1;RUE;MAETERLINCK;AL;16;104;74;1;Appartement;74;3;;;;78586
67;2;RUE;DIVISION LECLERC;AM;224;3;49,16;2;Appartement;48;2;;;;78640
68;;;LES SAVELS;AT;884;14;50,74;1;Appartement;50;2;;;;83062
69;31;AV;DE LA SABLIERE CAPTE;EX;44;7;20,15;1;Appartement;20;1;;;;83069
70;9100;RES;LE GRAND SOLEIL;CK;98;30;47,52;1;Appartement;38;2;;;;83112
71;8;ALL;DES PAQUERETTES;AL;246;39;86,92;1;Maison;91;5;;;;83123
72;43;RUE;CAMPANE;DK;374;1;37,24;1;Appartement;40;2;;;;84007
73;78;RUE;CARNOT;AE;932;173;43,12;1;Appartement;45;2;;;;85047
74;20;ALL;DU HAUT POITOU;ZP;247;9;30,42;1;Appartement;30;1;;;;86062
75;9007;RUE;DES DOUVES;BE;67;37;71,03;2;Appartement;75;4;;;;86194
76;14;RUE;DU CLUZEAU;BE;4;290;62,95;1;Appartement;62;2;;;;87075
77;8;RUE;GEORGES BELJEAN;PY;55;74;43,54;1;Appartement;43;2;;;;87085
78;2;RUE;D ADELAIAU;C;1192;49;128,34;1;Appartement;128;5;;;;91249
79;6;RUE;DE LA DIVISION LECLERC;AB;661;4;43,42;1;Appartement;43;2;;;;91689
80;79;RUE;DE VARSOVIE;AK;13;39;49,45;2;Appartement;55;3;;;;92025
81;5;BD;GEORGES CLEMENCEAU;AX;29;82;62,1;2;Appartement;65;3;;;;92026
82;32;RUE;GEORGES THORETTON;AH;210;117;59,35;1;Appartement;59;3;;;;92036
83;74;RUE;JULES GUESDE;O;119;6;52,85;1;Appartement;55;2;;;;92044
84;35;AV;SAINTE FOY;BY;271;4;106,31;1;Maison;90;4;S;;115;93032
85;4;ALL;JOSEPHINE;BR;14;79;77,93;1;Appartement;77;4;;;;93051
86;129;ALL;JULES AUFFRET;P;166;25;46;1;Appartement;46;2;;;;93057
87;1;PL;GASTON BUSSIERE;CA;10;6;24,63;1;Appartement;24;2;;;;93071
88;21;RUE;CLAUDE BERNARD;AM;78;6;67,1;1;Appartement;67;3;;;;94044
89;18;RUE;DE PROVENCE;AL;48;68;80;1;Maison;66;4;;;;94060
90;4;RUE;DU CLOS SAINT NICOLAS;AR;127;110;48,02;1;Appartement;49;2;;;;94060
91;7;RUE;DE L EGALITE;Q;95;8;16,37;1;Appartement;17;1;;;;94080
92;16;RUE;DE LA FOSSE AUX BICHES;AB;337;109;72,53;2;Appartement;69;4;;;;95252
