Id_ventes;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;Id_refbien
138;1;03/01/2020;Vente;332000;138
139;1;03/01/2020;Vente;221060;139
140;1;03/01/2020;Vente;174845;140
141;1;03/01/2020;Vente;42000;141
142;1;03/01/2020;Vente;445000;142
143;1;03/01/2020;Vente;232750;143
144;1;03/01/2020;Vente;257800;144
145;1;03/01/2020;Vente;125000;145
146;1;03/01/2020;Vente;104792,58;146
147;1;03/01/2020;Vente;146000;147
148;1;03/01/2020;Vente;174000;148
149;1;03/01/2020;Vente;110000;149
150;1;03/01/2020;Vente;370700;150
151;1;03/01/2020;Vente;62800;151
152;1;03/01/2020;Vente;251105;152
153;1;03/01/2020;Vente;342700;153
154;1;03/01/2020;Vente;65000;154
155;1;03/01/2020;Vente;133000;155
156;1;03/01/2020;Vente;66370;156
157;1;03/01/2020;Vente;594700;157
158;1;03/01/2020;Vente;71000;158
159;1;03/01/2020;Vente;140000;159
160;1;03/01/2020;Vente;112000;160
161;1;03/01/2020;Vente;121000;161
162;1;03/01/2020;Vente;109950;162
163;1;03/01/2020;Vente;314500;163
164;1;03/01/2020;Vente;167600;164
165;1;03/01/2020;Vente;157080;165
166;1;03/01/2020;Vente;164720;166
167;1;03/01/2020;Vente;273080;167
168;1;03/01/2020;Vente;118650;168
169;1;03/01/2020;Vente;157000;169
170;1;03/01/2020;Vente;63885;170
171;1;03/01/2020;Vente;255000;171
172;1;03/01/2020;Vente;445000;172
173;1;03/01/2020;Vente;852000;173
174;1;03/01/2020;Vente;335000;174
175;1;03/01/2020;Vente;278500;175
176;1;03/01/2020;Vente;497270;176
177;1;03/01/2020;Vente;1469500;177
178;1;03/01/2020;Vente;270000;178
179;1;03/01/2020;Vente;434000;179
180;1;03/01/2020;Vente;352000;180
181;1;03/01/2020;Vente;512000;181
182;1;03/01/2020;Vente;246150;182
183;1;03/01/2020;Vente;573721;183
184;1;03/01/2020;Vente;917350;184
185;1;03/01/2020;Vente;625500;185
186;1;03/01/2020;Vente;673315;186
187;1;03/01/2020;Vente;707350;187
188;1;03/01/2020;Vente;461200;188
189;1;03/01/2020;Vente;502700;189
190;1;03/01/2020;Vente;276000;190
191;1;03/01/2020;Vente;638000;191
192;1;03/01/2020;Vente;196500;192
193;1;03/01/2020;Vente;34500;193
194;1;03/01/2020;Vente;116000;194
195;1;03/01/2020;Vente;93200;195
196;1;03/01/2020;Vente;142000;196
197;1;03/01/2020;Vente;98000;197
198;1;03/01/2020;Vente;172500;198
199;1;03/01/2020;Vente;141000;199
200;1;03/01/2020;Vente;440000;200
201;1;03/01/2020;Vente;131600;201
202;1;03/01/2020;Vente;205000;202
203;1;03/01/2020;Vente;93800;203
204;1;03/01/2020;Vente;135450;204
205;1;03/01/2020;Vente;102000;205
206;1;03/01/2020;Vente;185000;206
207;1;03/01/2020;Vente;196100;207
208;1;03/01/2020;Vente;212231;208
209;1;03/01/2020;Vente;113000;209
210;1;03/01/2020;Vente;331000;210
211;1;03/01/2020;Vente;93000;211
212;1;03/01/2020;Vente;596370;212
213;1;03/01/2020;Vente;97000;213
214;1;03/01/2020;Vente;305000;214
215;1;03/01/2020;Vente;99840;215
216;1;03/01/2020;Vente;150020;216
217;1;03/01/2020;Vente;300000;217
218;1;03/01/2020;Vente;121000;218
219;1;03/01/2020;Vente;148570;219
220;1;03/01/2020;Vente;105840;220
221;1;03/01/2020;Vente;138000;221
222;1;03/01/2020;Vente;33000;222
223;1;03/01/2020;Vente;40000;223
224;1;03/01/2020;Vente;56650;224
225;1;03/01/2020;Vente;160000;225
226;1;03/01/2020;Vente;360000;226
227;1;03/01/2020;Vente;171000;227
228;1;03/01/2020;Vente;213500;228
229;1;03/01/2020;Vente;157500;229
